GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dina-data-jpa,se.nrm.dina.data.exceptions,DinaException,24,17,0,0,10,8,4,4,4,4
dina-data-jpa,se.nrm.dina.data.exceptions,DinaConstraintViolationException,13,0,0,0,6,0,3,0,3,0
dina-data-jpa,se.nrm.dina.data.exceptions,ErrorMsg,0,19,0,2,0,7,0,5,0,4
dina-data-jpa,se.nrm.dina.data.jpa,DinaDaoImpl,996,326,58,14,156,82,51,19,22,12
dina-data-jpa,se.nrm.dina.data.util,Util,135,288,12,16,34,72,15,27,6,22
dina-data-jpa,se.nrm.dina.data.util,HelpClass,52,0,2,0,12,0,7,0,6,0
